press	release	interval
431	453	0
451	437	118
485	468	104
471	471	87
473	480	87
497	476	94
466	481	73
492	505	88
462	479	101
535	499	118
526	547	82
493	512	103
495	473	122
544	515	100
477	502	71
480	498	96
508	494	114
495	484	100
506	520	89
460	458	103
519	518	101
447	454	100
541	541	107
470	453	107
486	493	90
488	480	97
453	478	89
491	474	114
531	498	97
440	477	64
506	509	101
521	520	104
453	439	103
509	518	89
512	522	98
468	448	108
508	516	88
495	490	96
463	468	91
426	444	96
478	457	114
480	483	93
426	437	96
511	479	107
469	496	75
486	457	102
482	504	73
513	501	95
479	506	83
522	508	110
493	473	96
505	513	76
520	509	84
523	537	73
0	517	87
